refrigerant_id,refrigerant_name
1,hc-12a
2,dr-14a
3,hc-22a
4,hc-502a
5,hfo-1336mzz-e
6,hfo-1336mzz-z (r1336mzz-z) (dr-2)
7,r-10
8,r-11
9,r-12
10,r-12b1
11,r-12b2
12,r-13
13,r-13b1
14,r-14
15,r-20
16,r-21
17,r-22
18,r-22b1
19,r-23
20,r-30
21,r-31
22,r-32
23,r-40
24,r-41
25,r-50
26,r-110
27,r-111
28,r-112
29,r-112a
30,r-113
31,r-113a
32,r-114
33,r-114a
34,r-114b2
35,r-115
36,r-116
37,r-120
38,r-121
39,r-121a
40,r-122
41,r-122a
42,r-122b
43,r-123
44,r-123a
45,r-123b
46,r-124
47,r-124a
48,r-125
49,r-e125
50,r-130
51,r-130a
52,r-131
53,r-131a
54,r-131b
55,r-132
56,r-132a
57,r-132b
58,r-132bb2
59,r-132c
60,r-133
61,r-133a
62,r-133b
63,r-134
64,r-134a
65,r-e134
66,r-140
67,r-140a
68,r-141
69,r-141a
70,r-141b
71,r-141b2
72,r-142a
73,r-142b
74,r-143
75,r-143a
76,r-e143a
77,r-143m
78,r-150
79,r-150a
80,r-151
81,r-151a
82,r-152
83,r-152a
84,r-160
85,r-161
86,r-170
87,r-e170
88,r-211
89,r-212
90,r-213
91,r-214
92,r-215
93,r-216
94,r-216ca
95,r-217
96,r-217ba
97,r-218
98,r-221
99,r-222
100,r-222c
101,r-223
102,r-223ca
103,r-223cb
104,r-224
105,r-224ca
106,r-224cb
107,r-224cc
108,r-225
109,r-225aa
110,r-225ba
111,r-225bb
112,r-225ca
113,r-225cb
114,r-225cc
115,r-225da
116,r-225ea
117,r-225eb
118,r-226
119,r-226ba
120,r-226ca
121,r-226cb
122,r-226da
123,r-226ea
124,r-227ca
125,r-227ca2
126,r-227ea
127,r-227me
128,r-231
129,r-232
130,r-232ca
131,r-232cb
132,r-233
133,r-233ca
134,r-233cb
135,r-233cc
136,r-234
137,r-234aa
138,r-234ab
139,r-234ba
140,r-234bb
141,r-234bc
142,r-234ca
143,r-234cb
144,r-234cc
145,r-234cd
146,r-234da
147,r-234fa
148,r-234fb
149,r-235
150,r-235ca
151,r-235cb
152,r-235cc
153,r-235da
154,r-235fa
155,r-236cb
156,r-236ea
157,r-236fa
158,r-236me
159,r-fe-36
160,r-241
161,r-242
162,r-243
163,r-243ca
164,r-243cb
165,r-243cc
166,r-243da
167,r-243ea
168,r-243ec
169,r-244
170,r-244ba
171,r-244bb
172,r-244ca
173,r-244cb
174,r-244cc
175,r-244da
176,r-244db
177,r-244ea
178,r-244eb
179,r-244ec
180,r-244fa
181,r-244fb
182,r-245ca
183,r-245cb
184,r-245ea
185,r-245eb
186,r-245fa
187,r-245mc
188,r-245mf
189,r-245qc
190,r-251
191,r-252
192,r-252ca
193,r-252cb
194,r-252dc
195,r-252ec
196,r-253
197,r-253ba
198,r-253bb
199,r-253ca
200,r-253cb
201,r-253ea
202,r-253eb
203,r-253ec
204,r-253fa
205,r-253fb
206,r-253fc
207,r-254cb
208,r-254pc
209,r-261
210,r-261ba
211,r-262
212,r-262ca
213,r-262fa
214,r-262fb
215,r-263
216,r-271
217,r-271b
218,r-271d
219,r-271fb
220,r-272
221,r-281
222,r-290
223,r-c316
224,r-c317
225,r-c318
226,r-3-1-10
227,r-329ccb
228,r-338eea
229,r-347ccd
230,r-347mcc
231,r-347mmy
232,r-365mfc
233,r-4-1-12
234,r-5-1-14
235,r-400
236,
237,r-401a
238,r-401b
239,r-401c
240,r-402a
241,r-402b
242,r-403a
243,r-403b
244,r-404a
245,r-405a
246,r-406a
247,r-406b
248,r-407a
249,r-407b
250,r-407c
251,r-407d
252,r-407e
253,r-407f
254,r-408a
255,r-409a
256,r-409b
257,r-410a
258,r-410b
259,r-411a
260,r-411b
261,r-411c
262,r-412a
263,r-413a
264,r-414a
265,r-414b
266,r-415a
267,r-415b
268,r-416a
269,r-417a
270,r-417b
271,r-418a
272,r-419a
273,r-420a
274,r-421a
275,r-421b
276,r-422a
277,r-422b
278,r-422c
279,r-422d
280,r-423a
281,r-424a
282,r-425a
283,r-426a
284,r-427a
285,r-428a
286,r-429a
287,r-430a
288,r-431a
289,r-432a
290,r-433a
291,r-433b
292,r-433c
293,r-434a
294,r-435a
295,r-436a
296,r-436b
297,r-437a
298,r-438a
299,r-439a
300,r-440a
301,r-441a
302,r-448a
303,
304,
305,
306,
307,r-449a
308,
309,
310,
311,r-452b
312,
313,
314,r-453a
315,
316,
317,
318,
319,
320,r-454a
321,
322,r-454b
323,
324,r-454c
325,
326,r-455a
327,
328,
329,r-456a
330,
331,
332,r-457a
333,
334,
335,r-458a
336,
337,
338,
339,
340,r-459a
341,
342,
343,r-500
344,r-501
345,r-502
346,r-503
347,r-504
348,r-505
349,r-506
350,r-507
351,r-508
352,r-508b
353,r-509
354,r-510
355,r-511
356,r-513a
357,r-514a
358,r-515b
359,r-600
360,r-600a
361,r-601
362,r-601a
363,r-610
364,r-611
365,r-630
366,r-631
367,r-702
368,r-704
369,r-717
370,r-718
371,r-720
372,r-728
373,r-729
374,r-732
375,r-740
376,r-744
377,r-744a
378,r-764
379,r-784
380,r-1112a
381,r-1113
382,r-1114
383,r-1120
384,r-1130
385,r-1132a
386,r-1140
387,r-1141
388,r-1150
389,r-1216
390,r-1218
391,r-1224yd
392,r-1233zd
393,r-1234yf
394,r-1234ze
395,r-1270
396,sp34e
397,r-20
398,r-20
399,r-20
